0,1,x,y,cluster,label,gray
9.200572,-2.8603823,478,75,2,0,150
9.331891,0.9874974,890,75,2,0,164
8.791284,-2.4002306,375,76,2,0,156
7.4746985,5.5995793,784,76,1,0,177
9.215563,-2.571046,325,77,2,0,145
8.74476,-2.6074238,428,77,2,0,145
9.428918,-2.9341931,530,77,2,0,161
7.4922776,5.3260546,838,78,1,0,149
8.089018,4.52848,940,78,1,0,161
9.870955,-2.6436322,634,79,2,0,155
10.111784,-2.2937138,735,79,2,0,158
9.271144,-1.5300746,224,80,2,0,164
9.914918,-2.0970373,681,80,2,0,165
9.078397,-1.9954323,68,82,2,0,165
-4.0161324,-1.7369758,455,87,0,0,74
-4.572066,-1.7098018,404,89,0,0,75
-3.6534138,1.8712242,605,91,0,0,87
-6.018414,0.03120625,864,91,0,0,75
-4.5998454,-0.68167835,661,93,0,0,64
6.1148753,8.381367,810,93,3,0,215
-6.080459,-0.15240708,914,93,0,0,80
-3.890107,1.7180575,199,95,0,0,79
-3.8469317,-1.1289773,351,96,0,0,84
-3.2985272,-0.6488915,704,97,0,0,76
-2.6975272,-0.9150866,780,112,0,0,71
10.834002,-2.0568948,349,120,2,0,167
9.8049,-2.3612301,503,120,2,0,176
9.267491,-1.2280055,603,120,2,0,150
9.708145,-2.6242995,401,121,2,0,164
9.178241,-2.5017145,453,121,2,0,168
9.568021,-1.8914742,655,121,2,0,149
9.664324,-2.5380177,706,121,2,0,175
9.331544,-0.68443924,197,122,2,0,158
8.847784,3.6489286,862,122,1,0,163
8.824135,4.5216527,757,123,1,0,144
10.731536,-1.7356168,915,123,2,0,145
-4.0598173,1.5121119,810,124,0,0,150
8.214049,5.8398213,146,125,1,0,179
6.390528,9.395849,90,129,3,0,255
-6.265942,-0.46995482,373,135,0,0,65
-5.837866,-0.72360706,427,135,0,0,69
-3.70801,1.8581522,528,135,0,0,73
-3.6125607,1.8884821,225,136,0,0,84
-5.3652062,0.045115378,627,136,0,0,77
-3.8080778,0.109029725,176,139,0,0,68
-3.659735,-0.56891143,475,139,0,0,69
6.8806515,8.428099,780,140,3,0,185
6.57034,8.226272,835,140,3,0,228
-5.6924605,0.34296274,887,140,0,0,90
-2.3850951,-1.40158,321,141,0,0,75
-3.578536,1.8599535,575,141,0,0,83
-5.8928237,-0.3420189,940,141,0,0,87
-2.4621084,-1.2414576,295,147,0,0,72
10.721813,-0.9264491,475,164,2,0,188
9.163522,-0.8878852,628,164,2,0,168
9.155736,-1.2832009,322,165,2,0,153
9.347994,-2.2555823,680,165,2,0,159
10.764795,-0.80208707,729,165,2,0,180
10.226155,-1.1944333,65,166,2,0,171
9.413791,-2.6977854,373,166,2,0,163
9.881353,-1.9750665,528,166,2,0,175
9.529068,0.73529375,577,166,2,0,164
9.701385,-0.32263076,169,167,2,0,151
9.937307,-0.40684474,273,167,2,0,182
8.705267,-2.3112378,425,167,2,0,144
9.129819,4.9926004,832,168,1,0,173
9.002399,4.089245,885,168,1,0,174
9.507437,-0.55418736,218,169,2,0,159
8.808156,4.68345,782,169,1,0,162
8.080839,4.535229,936,169,1,0,155
-3.111117,-0.47178417,598,176,0,0,90
-4.9770584,0.64918625,296,179,0,0,83
-3.7388785,1.8312039,144,180,0,0,88
-5.2062616,-0.57232195,244,180,0,0,76
-6.868808,-0.21185227,346,180,0,0,81
-5.5970254,0.24599858,451,180,0,0,84
-5.8641534,-0.72905,397,181,0,0,73
-4.41993,-0.2571093,752,181,0,0,86
-6.7699084,-0.09639246,193,183,0,0,74
-5.2308493,0.17603558,500,184,0,0,65
-6.4083457,-0.24695553,859,184,0,0,74
-3.2436016,-0.5693294,802,186,0,0,72
6.9993052,8.620782,906,187,3,0,214
9.410894,-1.7489673,549,208,2,0,151
9.190969,-0.40338984,602,208,2,0,164
8.592922,-2.186727,192,210,2,0,149
10.64575,-0.8805873,244,210,2,0,166
10.35665,-0.9168696,294,210,2,0,167
9.078877,-1.0796971,345,210,2,0,144
10.083123,-0.97179306,451,210,2,0,169
7.99644,7.128577,650,210,1,0,176
8.933127,4.811909,703,210,1,0,166
8.612726,-1.9201529,89,211,2,0,142
10.667914,-0.7244386,140,211,2,0,185
8.900734,-1.7431082,397,211,2,0,152
